あります,,在、有（不會活動的東西）,15.864875,16.827751
います,,在、有（會活動的人、動物）,16.827751,18.542834
いろいろ,色々,各式各樣,18.542834,20.426845
おとこの　ひと,男の　人,男人,20.426845,22.496955
おんなの　ひと,女の　人,女人,22.496955,24.544008
おとこの　こ,男の　子,男孩,24.544008,26.611054
おんなの　こ,女の　子,女孩,26.611054,28.646724
いぬ,犬,狗,28.646724,30.148392
ねこ,猫,貓,30.148392,31.692162
パンダ,,熊貓,31.692162,33.425954
ぞう,象,大象,33.425954,34.873473
き,木,樹木,34.873473,36.316658
もの,物,東西,36.316658,37.973315
でんち,電池,電池,37.973315,39.668354
はこ,箱,箱子,39.668354,41.320548
スイッチ,,開關,41.320548,43.166516
れいぞうこ,冷蔵庫,冰箱,43.166516,45.093775
テーブル,,餐桌、桌子,45.093775,47.025178
ベッド,,床,47.025178,48.55749
たな,棚,架子,48.55749,50.094088
ドア,,門,50.094088,51.657508
まど,窓,窗戶,51.657508,53.20562
ポスト,,郵筒、信箱,53.20562,54.941243
ビル,,大樓,54.941243,56.314141
エーティーエム,ATM,自動櫃員機、自動提款機,56.314141,58.368663
コンビニ,,便利商店、超商,58.368663,60.098552
こうえん,公園,公園,60.098552,61.797666
きっちてん,喫茶店,咖啡店,61.797666,63.767718
～　や,～　屋,～店,63.767718,65.294485
のりば,乗り場,乘車處（計程車、電車等）,65.294485,66.966432
けん,県,縣,66.966432,68.409642
うえ,上,上,68.409642,70.004334
した,下,下,70.004334,71.641266
まえ,前,前,71.641266,73.165754
うしろ,後,後,73.165754,74.988874
みぎ,右,右,74.988874,76.490278
ひだり,左,左,76.490278,78.249628
なか,中,中間、裡面,78.249628,79.828559
そと,外,外面,79.828559,81.411811
となり,隣,旁邊,81.411811,83.153105
ちかく,近く,附近,83.153105,85.12935
あいだ,間,～　之間,85.12935,86.721235
～　や　～　[など],,～　和　～　［等］,86.721235,89.430015
[どうも]　すみません,,［真是］　謝謝你。,92.256518,93.858663
ナンプラー,,魚露,93.858663,95.747584
コーナー,,專區、專櫃,95.747584,97.492481
いちばん　した,いちばん　した,最下面,97.492481,99.802973
とうきょうディズニーランド,東京ディズニーランド,東京迪士尼樂園,100.667832,103.406571
アジアストア,,亞洲超市,103.406571,105.708833